app_id,app_name,category,what_it_does,auth_methods,primary_auth_for_toolkit,auth_complexity,access_model,access_notes,public_api,api_protocols,api_breadth,api_surface_summary,mcp_status,mcp_url,buildability_verdict,main_blocker,opportunity_score,confidence,confidence_score,verification_status,human_review_required,developer_docs_url,api_docs_url,auth_docs_url,pricing_or_access_url,evidence_urls,notes_short
42,WooCommerce,Ecommerce,"WooCommerce is a ecommerce platform for stores, products, orders, customers, and commerce operations.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://woocommerce.com/document/woocommerce-rest-api/,https://woocommerce.github.io/woocommerce-rest-api-docs/,,,https://woocommerce.com/ | https://woocommerce.com/document/woocommerce-rest-api/ | https://woocommerce.github.io/woocommerce-rest-api-docs/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
43,BigCommerce,Ecommerce,"BigCommerce is a ecommerce platform for stores, products, orders, customers, and commerce operations.",unclear,unclear,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, Webhooks",broad,"First-pass API surface classified as broad using discovered REST, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.68,not_checked,unclear,https://developer.bigcommerce.com/,https://developer.bigcommerce.com/docs/rest-management,,,https://bigcommerce.com/ | https://developer.bigcommerce.com/ | https://developer.bigcommerce.com/docs/rest-management,buildable_with_caveats; primary blocker is admin_setup_required.
44,Salesforce Commerce Cloud,Ecommerce,"Salesforce Commerce Cloud is a ecommerce platform for stores, products, orders, customers, and commerce operations.",unclear,unclear,complex,partner_or_contact_sales_gated,"First-pass rubric marks this app as gated because access commonly depends on app review, partner approval, business verification, or sales contact.",yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,possible_but_gated,app_review_or_business_verification,5,medium,0.68,not_checked,unclear,https://developer.salesforce.com/docs/commerce,https://developer.salesforce.com/docs/commerce/commerce-api,,,https://developer.salesforce.com/docs/commerce | https://developer.salesforce.com/docs/commerce/commerce-api | https://salesforce.com/,possible_but_gated; primary blocker is app_review_or_business_verification.
45,Magento (Adobe Commerce),Ecommerce,"Magento (Adobe Commerce) is a ecommerce platform for stores, products, orders, customers, and commerce operations.",Documented auth flow,Documented auth flow,complex,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, SOAP, Webhooks",platform_level,"First-pass API surface classified as platform_level using discovered REST, SOAP, Webhooks source evidence.",none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://developer.adobe.com/commerce/,https://developer.adobe.com/commerce/webapi/rest/,https://developer.adobe.com/commerce/webapi/get-started/authentication/,,https://adobe.com/ | https://developer.adobe.com/commerce/ | https://developer.adobe.com/commerce/webapi/get-started/authentication/ | https://developer.adobe.com/commerce/webapi/rest/,platform_level API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
46,Squarespace,Ecommerce,"Squarespace is a ecommerce platform for stores, products, orders, customers, and commerce operations.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developers.squarespace.com/,https://developers.squarespace.com/commerce-apis,,,https://developers.squarespace.com/ | https://developers.squarespace.com/commerce-apis | https://squarespace.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
47,Ecwid,Ecommerce,"Ecwid is a ecommerce platform for stores, products, orders, customers, and commerce operations.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://api-docs.ecwid.com/,https://api-docs.ecwid.com/reference/rest-api,,,https://api-docs.ecwid.com/ | https://api-docs.ecwid.com/reference/rest-api | https://ecwid.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
48,Gumroad,Ecommerce,"Gumroad is a ecommerce platform for stores, products, orders, customers, and commerce operations.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://gumroad.com/api,https://gumroad.com/api,,,https://gumroad.com/ | https://gumroad.com/api,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
49,Amazon Selling Partner,Ecommerce,"Amazon Selling Partner is a ecommerce platform for stores, products, orders, customers, and commerce operations.",unclear,unclear,complex,partner_or_contact_sales_gated,"First-pass rubric marks this app as gated because access commonly depends on app review, partner approval, business verification, or sales contact.",yes,"REST, Webhooks",broad,"First-pass API surface classified as broad using discovered REST, Webhooks source evidence.",none_found,,possible_but_gated,app_review_or_business_verification,5,medium,0.68,not_checked,unclear,https://developer-docs.amazon.com/sp-api/,https://developer-docs.amazon.com/sp-api/reference/welcome,,,https://amazon.com/ | https://developer-docs.amazon.com/sp-api/ | https://developer-docs.amazon.com/sp-api/reference/welcome,possible_but_gated; primary blocker is app_review_or_business_verification.
50,fanbasis,Ecommerce,"fanbasis is a ecommerce platform for stores, products, orders, customers, and commerce operations.",unclear,unclear,unclear,unclear,Insufficient discovered sources to classify credential access.,no_or_unclear,Webhooks,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered Webhooks source evidence.,unclear,,unclear_needs_review,unclear_access,2,low,0.2,flagged,yes,,,,,https://fanbasis.com/,unclear_needs_review; primary blocker is unclear_access.
51,DataForSEO,"Data, SEO and Scraping","DataForSEO is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",API key / bearer token,API key / bearer token,simple,self_serve_paid_plan_required,"Likely self-serve API access, but useful access may depend on a paid plan or commercial account.",yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_with_caveats,paid_plan_required,6,medium,0.68,not_checked,unclear,https://docs.dataforseo.com/,https://docs.dataforseo.com/,,,https://dataforseo.com/ | https://docs.dataforseo.com/,buildable_with_caveats; primary blocker is paid_plan_required.
52,SE Ranking,"Data, SEO and Scraping","SE Ranking is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://seranking.com/api.html,https://seranking.com/api.html,,,https://seranking.com/ | https://seranking.com/api.html,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
53,Ahrefs,"Data, SEO and Scraping","Ahrefs is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",API key / bearer token,API key / bearer token,simple,self_serve_paid_plan_required,"Likely self-serve API access, but useful access may depend on a paid plan or commercial account.",yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_with_caveats,paid_plan_required,6,medium,0.68,not_checked,unclear,https://docs.ahrefs.com/,https://docs.ahrefs.com/,,https://ahrefs.com/api,https://ahrefs.com/ | https://ahrefs.com/api | https://docs.ahrefs.com/,buildable_with_caveats; primary blocker is paid_plan_required.
54,MrScraper,"Data, SEO and Scraping","MrScraper is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://docs.mrscraper.com/,https://docs.mrscraper.com/,,,https://docs.mrscraper.com/ | https://mrscraper.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
55,Apify,"Data, SEO and Scraping","Apify is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://docs.apify.com/,https://docs.apify.com/api/v2,https://docs.apify.com/platform/integrations/api,,https://apify.com/ | https://docs.apify.com/ | https://docs.apify.com/api/v2 | https://docs.apify.com/platform/integrations/api,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
56,Firecrawl,"Data, SEO and Scraping","Firecrawl is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://docs.firecrawl.dev/,https://docs.firecrawl.dev/api-reference/introduction,,,https://docs.firecrawl.dev/ | https://docs.firecrawl.dev/api-reference/introduction | https://firecrawl.dev/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
57,Bright Data,"Data, SEO and Scraping","Bright Data is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",API key / bearer token,API key / bearer token,simple,self_serve_paid_plan_required,"Likely self-serve API access, but useful access may depend on a paid plan or commercial account.",yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_with_caveats,paid_plan_required,6,medium,0.68,not_checked,unclear,https://docs.brightdata.com/,https://docs.brightdata.com/api-reference/introduction,,,https://brightdata.com/ | https://docs.brightdata.com/ | https://docs.brightdata.com/api-reference/introduction,buildable_with_caveats; primary blocker is paid_plan_required.
58,Sherlock,"Data, SEO and Scraping","Sherlock is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",No hosted app auth / CLI or open-source usage,No hosted app auth / CLI or open-source usage,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,no_or_unclear,REST,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered REST source evidence.,none_found,,unclear_needs_review,unclear_access,2,low,0.35,flagged,yes,https://github.com/sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,,,https://github.com/ | https://github.com/sherlock-project/sherlock,unclear_needs_review; primary blocker is unclear_access.
59,Waterfall.io,"Data, SEO and Scraping","Waterfall.io is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",unclear,unclear,unclear,self_serve_paid_plan_required,"Likely self-serve API access, but useful access may depend on a paid plan or commercial account.",no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,unclear_needs_review,unclear_access,2,low,0.2,flagged,yes,,,,,https://waterfall.io/,unclear_needs_review; primary blocker is unclear_access.
60,Clay,"Data, SEO and Scraping","Clay is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",unclear,unclear,unclear,self_serve_paid_plan_required,"Likely self-serve API access, but useful access may depend on a paid plan or commercial account.",no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,unclear_needs_review,unclear_access,2,low,0.2,flagged,yes,,,,,https://clay.com/,unclear_needs_review; primary blocker is unclear_access.
61,GitHub,"Developer, Infra and Data platforms","GitHub is a developer, infrastructure, or data platform for engineering and operational workflows.","OAuth 2.0, GitHub App auth, personal access token",OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, GraphQL, Webhooks",platform_level,"First-pass API surface classified as platform_level using discovered REST, GraphQL, Webhooks source evidence.",none_found,,buildable_now,none,9,high,0.82,pass,no,https://docs.github.com/rest,https://docs.github.com/rest,https://docs.github.com/en/apps/oauth-apps/building-oauth-apps/authorizing-oauth-apps,,https://docs.github.com/en/apps/oauth-apps/building-oauth-apps/authorizing-oauth-apps | https://docs.github.com/rest | https://github.com/,platform_level API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
62,Vercel,"Developer, Infra and Data platforms","Vercel is a developer, infrastructure, or data platform for engineering and operational workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",broad,"First-pass API surface classified as broad using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://vercel.com/docs/rest-api,https://vercel.com/docs/rest-api,https://vercel.com/docs/rest-api/reference/authentication,,https://vercel.com/ | https://vercel.com/docs/rest-api | https://vercel.com/docs/rest-api/reference/authentication,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
63,Netlify,"Developer, Infra and Data platforms","Netlify is a developer, infrastructure, or data platform for engineering and operational workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",broad,"First-pass API surface classified as broad using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://docs.netlify.com/api/get-started/,https://open-api.netlify.com/,,,https://docs.netlify.com/api/get-started/ | https://netlify.com/ | https://open-api.netlify.com/,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
64,Cloudflare,"Developer, Infra and Data platforms","Cloudflare is a developer, infrastructure, or data platform for engineering and operational workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",platform_level,"First-pass API surface classified as platform_level using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://developers.cloudflare.com/api/,https://developers.cloudflare.com/api/,,,https://cloudflare.com/ | https://developers.cloudflare.com/api/,platform_level API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
65,Supabase,"Developer, Infra and Data platforms","Supabase is a developer, infrastructure, or data platform for engineering and operational workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://supabase.com/docs,https://supabase.com/docs/reference,,,https://supabase.com/ | https://supabase.com/docs | https://supabase.com/docs/reference,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
66,Neo4j,"Developer, Infra and Data platforms","Neo4j is a developer, infrastructure, or data platform for engineering and operational workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://neo4j.com/docs/api/,https://neo4j.com/docs/api/,,,https://neo4j.com/ | https://neo4j.com/docs/api/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
67,Snowflake,"Developer, Infra and Data platforms","Snowflake is a developer, infrastructure, or data platform for engineering and operational workflows.",unclear,unclear,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, GraphQL, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, GraphQL, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.68,not_checked,unclear,https://docs.snowflake.com/,https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/snowflake-rest-api,,,https://docs.snowflake.com/ | https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/snowflake-rest-api | https://snowflake.com/,buildable_with_caveats; primary blocker is admin_setup_required.
68,MongoDB Atlas,"Developer, Infra and Data platforms","MongoDB Atlas is a developer, infrastructure, or data platform for engineering and operational workflows.",unclear,unclear,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.68,not_checked,unclear,https://www.mongodb.com/docs/atlas/api/,https://www.mongodb.com/docs/atlas/api/,,,https://mongodb.com/ | https://www.mongodb.com/docs/atlas/api/,buildable_with_caveats; primary blocker is admin_setup_required.
69,Datadog,"Developer, Infra and Data platforms","Datadog is a developer, infrastructure, or data platform for engineering and operational workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",broad,"First-pass API surface classified as broad using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://docs.datadoghq.com/api/,https://docs.datadoghq.com/api/latest/,,,https://datadoghq.com/ | https://docs.datadoghq.com/api/ | https://docs.datadoghq.com/api/latest/,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
70,Sentry,"Developer, Infra and Data platforms","Sentry is a developer, infrastructure, or data platform for engineering and operational workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://docs.sentry.io/api/,https://docs.sentry.io/api/,https://docs.sentry.io/api/auth/,,https://docs.sentry.io/api/ | https://docs.sentry.io/api/auth/ | https://sentry.io/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
71,Notion,Productivity and Project Management,"Notion is a productivity or project management platform for tasks, docs, teams, and workflow coordination.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",broad,"First-pass API surface classified as broad using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://developers.notion.com/,https://developers.notion.com/reference/intro,https://developers.notion.com/docs/authorization,,https://developers.notion.com/ | https://developers.notion.com/docs/authorization | https://developers.notion.com/reference/intro | https://notion.com/,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
72,Airtable,Productivity and Project Management,"Airtable is a productivity or project management platform for tasks, docs, teams, and workflow coordination.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",broad,"First-pass API surface classified as broad using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://airtable.com/developers,https://airtable.com/developers/web/api/introduction,https://airtable.com/developers/web/guides/oauth-integrations,,https://airtable.com/ | https://airtable.com/developers | https://airtable.com/developers/web/api/introduction | https://airtable.com/developers/web/guides/oauth-integrations,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
73,Linear,Productivity and Project Management,"Linear is a productivity or project management platform for tasks, docs, teams, and workflow coordination.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, GraphQL, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, GraphQL, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developers.linear.app/,https://developers.linear.app/docs/graphql/working-with-the-graphql-api,https://developers.linear.app/docs/oauth/authentication,,https://developers.linear.app/ | https://developers.linear.app/docs/graphql/working-with-the-graphql-api | https://developers.linear.app/docs/oauth/authentication | https://linear.app/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
74,Jira,Productivity and Project Management,"Jira is a productivity or project management platform for tasks, docs, teams, and workflow coordination.",OAuth 2.0,OAuth 2.0,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, Webhooks",platform_level,"First-pass API surface classified as platform_level using discovered REST, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.68,not_checked,unclear,https://developer.atlassian.com/,https://developer.atlassian.com/cloud/jira/platform/rest/v3/,https://developer.atlassian.com/cloud/jira/platform/oauth-2-3lo-apps/,,https://atlassian.com/ | https://developer.atlassian.com/ | https://developer.atlassian.com/cloud/jira/platform/oauth-2-3lo-apps/ | https://developer.atlassian.com/cloud/jira/platform/rest/v3/,buildable_with_caveats; primary blocker is admin_setup_required.
75,Asana,Productivity and Project Management,"Asana is a productivity or project management platform for tasks, docs, teams, and workflow coordination.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",broad,"First-pass API surface classified as broad using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://developers.asana.com/docs,https://developers.asana.com/reference/rest-api-reference,https://developers.asana.com/docs/oauth,,https://asana.com/ | https://developers.asana.com/docs | https://developers.asana.com/docs/oauth | https://developers.asana.com/reference/rest-api-reference,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
76,Monday.com,Productivity and Project Management,"Monday.com is a productivity or project management platform for tasks, docs, teams, and workflow coordination.",OAuth 2.0,OAuth 2.0,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, GraphQL, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, GraphQL, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.68,not_checked,unclear,https://developer.monday.com/,https://developer.monday.com/api-reference/docs,https://developer.monday.com/apps/docs/oauth,,https://developer.monday.com/ | https://developer.monday.com/api-reference/docs | https://developer.monday.com/apps/docs/oauth | https://monday.com/,buildable_with_caveats; primary blocker is admin_setup_required.
77,ClickUp,Productivity and Project Management,"ClickUp is a productivity or project management platform for tasks, docs, teams, and workflow coordination.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://clickup.com/api,https://clickup.com/api,,,https://clickup.com/ | https://clickup.com/api,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
78,Coda,Productivity and Project Management,"Coda is a productivity or project management platform for tasks, docs, teams, and workflow coordination.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://coda.io/developers,https://coda.io/developers/apis/v1,,,https://coda.io/ | https://coda.io/developers | https://coda.io/developers/apis/v1,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
79,Smartsheet,Productivity and Project Management,"Smartsheet is a productivity or project management platform for tasks, docs, teams, and workflow coordination.",unclear,unclear,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,medium,0.68,not_checked,unclear,https://smartsheet.redoc.ly/,https://smartsheet.redoc.ly/,,,https://smartsheet.com/ | https://smartsheet.redoc.ly/,buildable_with_caveats; primary blocker is admin_setup_required.
80,Harvest,Productivity and Project Management,"Harvest is a productivity or project management platform for tasks, docs, teams, and workflow coordination.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://help.getharvest.com/api-v2/,https://help.getharvest.com/api-v2/,https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/,,https://getharvest.com/ | https://help.getharvest.com/api-v2/ | https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
81,Stripe,Finance and Fintech,"Stripe is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://docs.stripe.com/,https://docs.stripe.com/api,https://docs.stripe.com/keys,,https://docs.stripe.com/ | https://docs.stripe.com/api | https://docs.stripe.com/keys | https://stripe.com/,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
82,Plaid,Finance and Fintech,"Plaid is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://plaid.com/docs/,https://plaid.com/docs/api/,https://plaid.com/docs/api/tokens/,,https://plaid.com/ | https://plaid.com/docs/ | https://plaid.com/docs/api/ | https://plaid.com/docs/api/tokens/,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
83,Binance,Finance and Fintech,"Binance is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developers.binance.com/docs,https://developers.binance.com/docs/binance-spot-api-docs/rest-api/general-api-information,,,https://binance-docs.github.io/ | https://developers.binance.com/docs | https://developers.binance.com/docs/binance-spot-api-docs/rest-api/general-api-information,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
84,Paygent Connect,Finance and Fintech,"Paygent Connect is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",unclear,unclear,complex,partner_or_contact_sales_gated,"First-pass rubric marks this app as gated because access commonly depends on app review, partner approval, business verification, or sales contact.",no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,possible_but_gated,app_review_or_business_verification,5,low,0.15,flagged,yes,,,,,,possible_but_gated; primary blocker is app_review_or_business_verification.
85,iPayX,Finance and Fintech,"iPayX is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://ipayx.ai/docs,https://ipayx.ai/docs,,,https://ipayx.ai/ | https://ipayx.ai/docs,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
